17,22,21,20,18,14,10,5,3,7
17,12,21,20,18,14,10,5,3,7
17,15,21,20,18,14,10,5,3,7
17,22,15,20,18,14,10,5,3,7
17,12,15,20,18,14,10,5,3,7
17,22,12,11,15,14,10,5,3,7
17,13,12,11,15,14,10,5,3,7
17,13,9,12,15,14,10,5,3,7
17,21,22,12,15,14,10,5,3,7
17,23,22,12,15,14,10,5,3,7
17,22,21,12,15,14,10,5,3,7
17,22,21,20,15,14,10,5,3,7
17,12,21,20,15,14,10,5,3,7
17,22,12,21,15,14,10,5,3,7
17,13,12,21,15,14,10,5,3,7
17,23,22,21,15,14,10,5,3,7
17,12,22,21,15,14,10,5,3,7
17,21,12,22,15,14,10,5,3,7
17,13,12,22,15,14,10,5,3,7
17,12,21,22,15,14,10,5,3,7
17,21,12,11,15,14,10,5,3,7
17,22,15,14,20,18,10,5,3,7
17,12,15,14,20,18,10,5,3,7
17,21,12,15,20,18,10,5,3,7
17,22,12,15,20,18,10,5,3,7
17,13,12,15,20,18,10,5,3,7
17,12,11,15,20,18,10,5,3,7
17,21,22,15,20,18,10,5,3,7
17,23,22,15,20,18,10,5,3,7
17,12,22,15,20,18,10,5,3,7
17,22,21,15,20,18,10,5,3,7
17,12,21,15,20,18,10,5,3,7
17,12,15,21,20,18,10,5,3,7
17,22,12,21,20,18,10,5,3,7
17,13,12,21,20,18,10,5,3,7
17,15,12,21,20,18,10,5,3,7
17,23,22,21,20,18,10,5,3,7
17,12,22,21,20,18,10,5,3,7
17,15,22,21,20,18,10,5,3,7
17,22,15,21,20,18,10,5,3,7
17,21,15,14,20,18,10,5,3,7
17,21,20,15,14,18,10,5,3,7
17,21,12,15,14,18,10,5,3,7
17,22,12,15,14,18,10,5,3,7
17,13,12,15,14,18,10,5,3,7
17,12,11,15,14,18,10,5,3,7
17,21,22,15,14,18,10,5,3,7
17,23,22,15,14,18,10,5,3,7
17,12,22,15,14,18,10,5,3,7
17,22,21,15,14,18,10,5,3,7
17,12,21,15,14,18,10,5,3,7
17,21,15,20,14,18,10,5,3,7
17,22,21,20,14,18,10,5,3,7
17,12,21,20,14,18,10,5,3,7
17,15,21,20,14,18,10,5,3,7
17,22,15,20,14,18,10,5,3,7
17,12,15,20,14,18,10,5,3,7
17,15,11,12,13,9,8,5,3,7
17,21,22,12,13,9,8,5,3,7
17,23,22,12,13,9,8,5,3,7
17,15,22,12,13,9,8,5,3,7
17,22,21,12,13,9,8,5,3,7
17,15,21,12,13,9,8,5,3,7
17,22,15,12,13,9,8,5,3,7
17,21,15,12,13,9,8,5,3,7
17,22,15,11,12,9,8,5,3,7
17,21,20,15,12,9,8,5,3,7
17,21,22,15,12,9,8,5,3,7
17,23,22,15,12,9,8,5,3,7
17,22,21,15,12,9,8,5,3,7
17,23,22,21,12,9,8,5,3,7
17,15,22,21,12,9,8,5,3,7
17,15,20,21,12,9,8,5,3,7
17,22,15,21,12,9,8,5,3,7
17,21,15,22,12,9,8,5,3,7
17,15,21,22,12,9,8,5,3,7
17,21,15,11,12,9,8,5,3,7
17,21,15,14,18,10,8,5,3,7
17,21,20,14,18,10,8,5,3,7
17,15,20,14,18,10,8,5,3,7
17,22,15,14,18,10,8,5,3,7
17,12,15,14,18,10,8,5,3,7
17,21,15,20,18,10,8,5,3,7
17,15,14,20,18,10,8,5,3,7
17,22,21,20,18,10,8,5,3,7
17,12,21,20,18,10,8,5,3,7
17,15,21,20,18,10,8,5,3,7
17,22,15,20,18,10,8,5,3,7
17,12,15,20,18,10,8,5,3,7
17,21,20,15,14,10,8,5,3,7
17,21,12,15,14,10,8,5,3,7
17,22,12,15,14,10,8,5,3,7
17,13,12,15,14,10,8,5,3,7
17,12,11,15,14,10,8,5,3,7
17,21,22,15,14,10,8,5,3,7
17,23,22,15,14,10,8,5,3,7
17,12,22,15,14,10,8,5,3,7
17,22,21,15,14,10,8,5,3,7
17,12,21,15,14,10,8,5,3,7
17,15,20,18,14,10,8,5,3,7
17,21,20,18,14,10,8,5,3,7
17,21,15,20,14,10,8,5,3,7
17,22,21,20,14,10,8,5,3,7
17,12,21,20,14,10,8,5,3,7
17,15,21,20,14,10,8,5,3,7
17,22,15,20,14,10,8,5,3,7
17,12,15,20,14,10,8,5,3,7
17,21,15,12,11,10,8,5,3,7
17,13,9,12,11,10,8,5,3,7
17,21,22,12,11,10,8,5,3,7
17,23,22,12,11,10,8,5,3,7
17,15,22,12,11,10,8,5,3,7
17,22,21,12,11,10,8,5,3,7
17,15,21,12,11,10,8,5,3,7
17,22,15,12,11,10,8,5,3,7
17,21,20,15,11,10,8,5,3,7
17,21,12,15,11,10,8,5,3,7
17,22,12,15,11,10,8,5,3,7
17,13,12,15,11,10,8,5,3,7
17,21,22,15,11,10,8,5,3,7
17,23,22,15,11,10,8,5,3,7
17,12,22,15,11,10,8,5,3,7
17,22,21,15,11,10,8,5,3,7
17,12,21,15,11,10,8,5,3,7
17,13,9,12,15,11,8,5,3,7
17,21,22,12,15,11,8,5,3,7
17,23,22,12,15,11,8,5,3,7
17,22,21,12,15,11,8,5,3,7
17,21,20,14,15,11,8,5,3,7
17,22,21,20,15,11,8,5,3,7
17,12,21,20,15,11,8,5,3,7
17,22,12,21,15,11,8,5,3,7
17,13,12,21,15,11,8,5,3,7
17,23,22,21,15,11,8,5,3,7
17,12,22,21,15,11,8,5,3,7
17,21,12,22,15,11,8,5,3,7
17,13,12,22,15,11,8,5,3,7
17,12,21,22,15,11,8,5,3,7
17,21,20,15,12,11,8,5,3,7
17,21,22,15,12,11,8,5,3,7
17,23,22,15,12,11,8,5,3,7
17,22,21,15,12,11,8,5,3,7
17,23,22,21,12,11,8,5,3,7
17,15,22,21,12,11,8,5,3,7
17,15,20,21,12,11,8,5,3,7
17,22,15,21,12,11,8,5,3,7
17,21,15,22,12,11,8,5,3,7
17,15,21,22,12,11,8,5,3,7
17,21,15,14,10,11,8,5,3,7
17,21,20,14,10,11,8,5,3,7
17,15,20,14,10,11,8,5,3,7
17,22,15,14,10,11,8,5,3,7
17,12,15,14,10,11,8,5,3,7
17,15,20,18,10,11,8,5,3,7
17,15,14,18,10,11,8,5,3,7
17,21,20,18,10,11,8,5,3,7
17,15,14,10,11,8,2,5,3,7
17,21,15,12,11,8,2,5,3,7
17,13,9,12,11,8,2,5,3,7
17,21,22,12,11,8,2,5,3,7
17,23,22,12,11,8,2,5,3,7
17,15,22,12,11,8,2,5,3,7
17,22,21,12,11,8,2,5,3,7
17,15,21,12,11,8,2,5,3,7
17,22,15,12,11,8,2,5,3,7
17,21,20,15,11,8,2,5,3,7
17,21,12,15,11,8,2,5,3,7
17,22,12,15,11,8,2,5,3,7
17,13,12,15,11,8,2,5,3,7
17,21,22,15,11,8,2,5,3,7
17,23,22,15,11,8,2,5,3,7
17,12,22,15,11,8,2,5,3,7
17,22,21,15,11,8,2,5,3,7
17,12,21,15,11,8,2,5,3,7
17,21,15,11,10,8,2,5,3,7
17,21,12,11,10,8,2,5,3,7
17,22,12,11,10,8,2,5,3,7
17,13,12,11,10,8,2,5,3,7
17,15,12,11,10,8,2,5,3,7
17,22,15,11,10,8,2,5,3,7
17,12,15,11,10,8,2,5,3,7
17,21,15,14,10,8,2,5,3,7
17,21,20,14,10,8,2,5,3,7
17,15,20,14,10,8,2,5,3,7
17,22,15,14,10,8,2,5,3,7
17,12,15,14,10,8,2,5,3,7
17,15,20,18,10,8,2,5,3,7
17,15,14,18,10,8,2,5,3,7
17,21,20,18,10,8,2,5,3,7
17,21,15,12,9,8,2,5,3,7
17,15,11,12,9,8,2,5,3,7
17,21,22,12,9,8,2,5,3,7
17,23,22,12,9,8,2,5,3,7
17,15,22,12,9,8,2,5,3,7
17,22,21,12,9,8,2,5,3,7
17,15,21,12,9,8,2,5,3,7
17,22,15,12,9,8,2,5,3,7
17,15,12,13,9,8,2,5,3,7
17,21,12,13,9,8,2,5,3,7
17,22,12,13,9,8,2,5,3,7
17,12,13,9,8,2,1,5,3,7
17,21,12,9,8,2,1,5,3,7
17,22,12,9,8,2,1,5,3,7
17,13,12,9,8,2,1,5,3,7
17,15,11,10,8,2,1,5,3,7
17,15,14,10,8,2,1,5,3,7
17,12,11,10,8,2,1,5,3,7
17,21,15,11,8,2,1,5,3,7
17,21,12,11,8,2,1,5,3,7
17,22,12,11,8,2,1,5,3,7
17,13,12,11,8,2,1,5,3,7
17,15,12,11,8,2,1,5,3,7
17,22,15,11,8,2,1,5,3,7
17,12,15,11,8,2,1,5,3,7
17,15,12,9,8,2,1,5,3,7
17,12,11,8,2,1,0,5,3,7
17,15,11,8,2,1,0,5,3,7
17,13,9,8,2,1,0,5,3,7
17,21,20,18,10,5,2,8,3,7
17,21,15,14,18,10,11,8,3,7
17,21,20,14,18,10,11,8,3,7
17,15,20,14,18,10,11,8,3,7
17,22,15,14,18,10,11,8,3,7
17,12,15,14,18,10,11,8,3,7
17,21,15,20,18,10,11,8,3,7
17,15,14,20,18,10,11,8,3,7
17,22,21,20,18,10,11,8,3,7
17,12,21,20,18,10,11,8,3,7
17,15,21,20,18,10,11,8,3,7
17,22,15,20,18,10,11,8,3,7
17,12,15,20,18,10,11,8,3,7
17,21,20,15,14,10,11,8,3,7
17,21,12,15,14,10,11,8,3,7
17,22,12,15,14,10,11,8,3,7
17,13,12,15,14,10,11,8,3,7
17,21,22,15,14,10,11,8,3,7
17,23,22,15,14,10,11,8,3,7
17,12,22,15,14,10,11,8,3,7
17,22,21,15,14,10,11,8,3,7
17,12,21,15,14,10,11,8,3,7
17,15,20,18,14,10,11,8,3,7
17,21,20,18,14,10,11,8,3,7
17,21,15,20,14,10,11,8,3,7
17,22,21,20,14,10,11,8,3,7
17,12,21,20,14,10,11,8,3,7
17,15,21,20,14,10,11,8,3,7
17,22,15,20,14,10,11,8,3,7
17,12,15,20,14,10,11,8,3,7
17,21,20,15,22,12,11,8,3,7
17,15,20,21,22,12,11,8,3,7
17,23,22,15,21,12,11,8,3,7
17,15,14,20,21,12,11,8,3,7
17,22,15,20,21,12,11,8,3,7
17,21,20,14,15,12,11,8,3,7
17,22,21,20,15,12,11,8,3,7
17,23,22,21,15,12,11,8,3,7
17,13,9,12,22,15,11,8,3,7
17,13,12,21,22,15,11,8,3,7
17,13,9,12,21,15,11,8,3,7
17,23,22,12,21,15,11,8,3,7
17,13,12,22,21,15,11,8,3,7
17,22,12,21,20,15,11,8,3,7
17,13,12,21,20,15,11,8,3,7
17,23,22,21,20,15,11,8,3,7
17,12,22,21,20,15,11,8,3,7
17,21,20,18,14,15,11,8,3,7
17,22,21,20,14,15,11,8,3,7
17,12,21,20,14,15,11,8,3,7
17,23,22,21,12,15,11,8,3,7
17,13,9,12,15,11,10,8,3,7
17,21,22,12,15,11,10,8,3,7
17,23,22,12,15,11,10,8,3,7
17,22,21,12,15,11,10,8,3,7
17,21,20,14,15,11,10,8,3,7
17,22,21,20,15,11,10,8,3,7
17,12,21,20,15,11,10,8,3,7
17,22,12,21,15,11,10,8,3,7
17,13,12,21,15,11,10,8,3,7
17,23,22,21,15,11,10,8,3,7
17,12,22,21,15,11,10,8,3,7
17,21,12,22,15,11,10,8,3,7
17,13,12,22,15,11,10,8,3,7
17,12,21,22,15,11,10,8,3,7
17,21,20,15,12,11,10,8,3,7
17,21,22,15,12,11,10,8,3,7
17,23,22,15,12,11,10,8,3,7
17,22,21,15,12,11,10,8,3,7
17,23,22,21,12,11,10,8,3,7
17,15,22,21,12,11,10,8,3,7
17,15,20,21,12,11,10,8,3,7
17,22,15,21,12,11,10,8,3,7
17,21,15,22,12,11,10,8,3,7
17,15,21,22,12,11,10,8,3,7
17,21,12,15,20,14,10,8,3,7
17,22,12,15,20,14,10,8,3,7
17,13,12,15,20,14,10,8,3,7
17,12,11,15,20,14,10,8,3,7
17,21,22,15,20,14,10,8,3,7
17,23,22,15,20,14,10,8,3,7
17,12,22,15,20,14,10,8,3,7
17,22,21,15,20,14,10,8,3,7
17,12,21,15,20,14,10,8,3,7
17,12,15,21,20,14,10,8,3,7
17,22,12,21,20,14,10,8,3,7
17,13,12,21,20,14,10,8,3,7
17,15,12,21,20,14,10,8,3,7
17,23,22,21,20,14,10,8,3,7
17,12,22,21,20,14,10,8,3,7
17,15,22,21,20,14,10,8,3,7
17,22,15,21,20,14,10,8,3,7
17,21,15,20,18,14,10,8,3,7
17,22,21,20,18,14,10,8,3,7
17,12,21,20,18,14,10,8,3,7
17,15,21,20,18,14,10,8,3,7
17,22,15,20,18,14,10,8,3,7
17,12,15,20,18,14,10,8,3,7
17,22,12,11,15,14,10,8,3,7
17,13,12,11,15,14,10,8,3,7
17,13,9,12,15,14,10,8,3,7
17,21,22,12,15,14,10,8,3,7
17,23,22,12,15,14,10,8,3,7
17,22,21,12,15,14,10,8,3,7
17,22,21,20,15,14,10,8,3,7
17,12,21,20,15,14,10,8,3,7
17,22,12,21,15,14,10,8,3,7
17,13,12,21,15,14,10,8,3,7
17,23,22,21,15,14,10,8,3,7
17,12,22,21,15,14,10,8,3,7
17,21,12,22,15,14,10,8,3,7
17,13,12,22,15,14,10,8,3,7
17,12,21,22,15,14,10,8,3,7
17,21,12,11,15,14,10,8,3,7
17,22,15,14,20,18,10,8,3,7
17,12,15,14,20,18,10,8,3,7
17,21,12,15,20,18,10,8,3,7
17,22,12,15,20,18,10,8,3,7
17,13,12,15,20,18,10,8,3,7
17,12,11,15,20,18,10,8,3,7
17,21,22,15,20,18,10,8,3,7
17,23,22,15,20,18,10,8,3,7
17,12,22,15,20,18,10,8,3,7
17,22,21,15,20,18,10,8,3,7
17,12,21,15,20,18,10,8,3,7
17,12,15,21,20,18,10,8,3,7
17,22,12,21,20,18,10,8,3,7
17,13,12,21,20,18,10,8,3,7
17,15,12,21,20,18,10,8,3,7
17,23,22,21,20,18,10,8,3,7
17,12,22,21,20,18,10,8,3,7
17,15,22,21,20,18,10,8,3,7
17,22,15,21,20,18,10,8,3,7
17,21,15,14,20,18,10,8,3,7
17,21,20,15,14,18,10,8,3,7
17,21,12,15,14,18,10,8,3,7
17,22,12,15,14,18,10,8,3,7
17,13,12,15,14,18,10,8,3,7
17,12,11,15,14,18,10,8,3,7
17,21,22,15,14,18,10,8,3,7
17,23,22,15,14,18,10,8,3,7
17,12,22,15,14,18,10,8,3,7
17,22,21,15,14,18,10,8,3,7
17,12,21,15,14,18,10,8,3,7
17,21,15,20,14,18,10,8,3,7
17,22,21,20,14,18,10,8,3,7
17,12,21,20,14,18,10,8,3,7
17,15,21,20,14,18,10,8,3,7
17,22,15,20,14,18,10,8,3,7
17,12,15,20,14,18,10,8,3,7
17,21,20,15,22,12,9,8,3,7
17,15,20,21,22,12,9,8,3,7
17,23,22,15,21,12,9,8,3,7
17,15,14,20,21,12,9,8,3,7
17,22,15,20,21,12,9,8,3,7
17,21,20,14,15,12,9,8,3,7
17,22,21,20,15,12,9,8,3,7
17,23,22,21,15,12,9,8,3,7
17,15,14,10,11,12,9,8,3,7
17,21,20,15,11,12,9,8,3,7
17,21,22,15,11,12,9,8,3,7
17,23,22,15,11,12,9,8,3,7
17,22,21,15,11,12,9,8,3,7
17,22,15,11,12,13,9,8,3,7
17,21,20,15,12,13,9,8,3,7
17,21,22,15,12,13,9,8,3,7
17,23,22,15,12,13,9,8,3,7
17,22,21,15,12,13,9,8,3,7
17,23,22,21,12,13,9,8,3,7
17,15,22,21,12,13,9,8,3,7
17,15,20,21,12,13,9,8,3,7
17,22,15,21,12,13,9,8,3,7
17,21,15,22,12,13,9,8,3,7
17,15,21,22,12,13,9,8,3,7
17,21,15,11,12,13,9,8,3,7
17,21,15,14,18,10,5,8,3,7
17,21,20,14,18,10,5,8,3,7
17,15,20,14,18,10,5,8,3,7
17,22,15,14,18,10,5,8,3,7
17,12,15,14,18,10,5,8,3,7
17,21,15,20,18,10,5,8,3,7
17,15,14,20,18,10,5,8,3,7
17,22,21,20,18,10,5,8,3,7
17,12,21,20,18,10,5,8,3,7
17,15,21,20,18,10,5,8,3,7
17,22,15,20,18,10,5,8,3,7
17,12,15,20,18,10,5,8,3,7
17,21,20,15,14,10,5,8,3,7
17,21,12,15,14,10,5,8,3,7
17,22,12,15,14,10,5,8,3,7
17,13,12,15,14,10,5,8,3,7
17,12,11,15,14,10,5,8,3,7
17,21,22,15,14,10,5,8,3,7
17,23,22,15,14,10,5,8,3,7
17,12,22,15,14,10,5,8,3,7
17,22,21,15,14,10,5,8,3,7
17,12,21,15,14,10,5,8,3,7
17,15,20,18,14,10,5,8,3,7
17,21,20,18,14,10,5,8,3,7
17,21,15,20,14,10,5,8,3,7
17,22,21,20,14,10,5,8,3,7
17,12,21,20,14,10,5,8,3,7
17,15,21,20,14,10,5,8,3,7
17,22,15,20,14,10,5,8,3,7
17,12,15,20,14,10,5,8,3,7
17,21,15,12,11,10,5,8,3,7
17,13,9,12,11,10,5,8,3,7
17,21,22,12,11,10,5,8,3,7
17,23,22,12,11,10,5,8,3,7
17,15,22,12,11,10,5,8,3,7
17,22,21,12,11,10,5,8,3,7
17,15,21,12,11,10,5,8,3,7
17,22,15,12,11,10,5,8,3,7
17,21,20,15,11,10,5,8,3,7
17,21,12,15,11,10,5,8,3,7
17,22,12,15,11,10,5,8,3,7
17,13,12,15,11,10,5,8,3,7
17,21,22,15,11,10,5,8,3,7
17,23,22,15,11,10,5,8,3,7
17,12,22,15,11,10,5,8,3,7
17,22,21,15,11,10,5,8,3,7
17,12,21,15,11,10,5,8,3,7
17,15,11,10,5,1,2,8,3,7
17,15,14,10,5,1,2,8,3,7
17,12,11,10,5,1,2,8,3,7
17,21,15,11,10,5,2,8,3,7
17,21,12,11,10,5,2,8,3,7
17,22,12,11,10,5,2,8,3,7
17,13,12,11,10,5,2,8,3,7
17,15,12,11,10,5,2,8,3,7
17,22,15,11,10,5,2,8,3,7
17,12,15,11,10,5,2,8,3,7
17,21,15,14,10,5,2,8,3,7
17,21,20,14,10,5,2,8,3,7
17,15,20,14,10,5,2,8,3,7
17,22,15,14,10,5,2,8,3,7
17,12,15,14,10,5,2,8,3,7
17,15,20,18,10,5,2,8,3,7
17,15,14,18,10,5,2,8,3,7
17,12,9,8,5,0,1,2,3,7
17,12,13,9,8,3,5,1,2,7
17,21,12,9,8,3,5,1,2,7
17,22,12,9,8,3,5,1,2,7
17,13,12,9,8,3,5,1,2,7
17,15,11,10,8,3,5,1,2,7
17,15,14,10,8,3,5,1,2,7
17,12,11,10,8,3,5,1,2,7
17,21,15,11,8,3,5,1,2,7
17,21,12,11,8,3,5,1,2,7
17,22,12,11,8,3,5,1,2,7
17,13,12,11,8,3,5,1,2,7
17,15,12,11,8,3,5,1,2,7
17,22,15,11,8,3,5,1,2,7
17,12,15,11,8,3,5,1,2,7
17,15,12,9,8,3,5,1,2,7
17,15,14,10,11,8,5,1,2,7
17,21,15,12,11,8,5,1,2,7
17,13,9,12,11,8,5,1,2,7
17,21,22,12,11,8,5,1,2,7
17,23,22,12,11,8,5,1,2,7
17,15,22,12,11,8,5,1,2,7
17,22,21,12,11,8,5,1,2,7
17,15,21,12,11,8,5,1,2,7
17,22,15,12,11,8,5,1,2,7
17,21,20,15,11,8,5,1,2,7
17,21,12,15,11,8,5,1,2,7
17,22,12,15,11,8,5,1,2,7
17,13,12,15,11,8,5,1,2,7
17,21,22,15,11,8,5,1,2,7
17,23,22,15,11,8,5,1,2,7
17,12,22,15,11,8,5,1,2,7
17,22,21,15,11,8,5,1,2,7
17,12,21,15,11,8,5,1,2,7
17,21,15,11,10,8,5,1,2,7
17,21,12,11,10,8,5,1,2,7
17,22,12,11,10,8,5,1,2,7
17,13,12,11,10,8,5,1,2,7
17,15,12,11,10,8,5,1,2,7
17,22,15,11,10,8,5,1,2,7
17,12,15,11,10,8,5,1,2,7
17,21,15,14,10,8,5,1,2,7
17,21,20,14,10,8,5,1,2,7
17,15,20,14,10,8,5,1,2,7
17,22,15,14,10,8,5,1,2,7
17,12,15,14,10,8,5,1,2,7
17,15,20,18,10,8,5,1,2,7
17,15,14,18,10,8,5,1,2,7
17,21,20,18,10,8,5,1,2,7
17,21,15,12,9,8,5,1,2,7
17,15,11,12,9,8,5,1,2,7
17,21,22,12,9,8,5,1,2,7
17,23,22,12,9,8,5,1,2,7
17,15,22,12,9,8,5,1,2,7
17,22,21,12,9,8,5,1,2,7
17,15,21,12,9,8,5,1,2,7
17,22,15,12,9,8,5,1,2,7
17,15,12,13,9,8,5,1,2,7
17,21,12,13,9,8,5,1,2,7
17,22,12,13,9,8,5,1,2,7
17,21,15,14,18,10,5,1,2,7
17,21,20,14,18,10,5,1,2,7
17,15,20,14,18,10,5,1,2,7
17,22,15,14,18,10,5,1,2,7
17,12,15,14,18,10,5,1,2,7
17,21,15,20,18,10,5,1,2,7
17,15,14,20,18,10,5,1,2,7
17,22,21,20,18,10,5,1,2,7
17,12,21,20,18,10,5,1,2,7
17,15,21,20,18,10,5,1,2,7
17,22,15,20,18,10,5,1,2,7
17,12,15,20,18,10,5,1,2,7
17,21,20,15,14,10,5,1,2,7
17,21,12,15,14,10,5,1,2,7
17,22,12,15,14,10,5,1,2,7
17,13,12,15,14,10,5,1,2,7
17,12,11,15,14,10,5,1,2,7
17,21,22,15,14,10,5,1,2,7
17,23,22,15,14,10,5,1,2,7
17,12,22,15,14,10,5,1,2,7
17,22,21,15,14,10,5,1,2,7
17,12,21,15,14,10,5,1,2,7
17,15,20,18,14,10,5,1,2,7
17,21,20,18,14,10,5,1,2,7
17,21,15,20,14,10,5,1,2,7
17,22,21,20,14,10,5,1,2,7
17,12,21,20,14,10,5,1,2,7
17,15,21,20,14,10,5,1,2,7
17,22,15,20,14,10,5,1,2,7
17,12,15,20,14,10,5,1,2,7
17,13,9,8,11,10,5,1,2,7
17,21,15,12,11,10,5,1,2,7
17,13,9,12,11,10,5,1,2,7
17,21,22,12,11,10,5,1,2,7
17,23,22,12,11,10,5,1,2,7
17,15,22,12,11,10,5,1,2,7
17,22,21,12,11,10,5,1,2,7
17,15,21,12,11,10,5,1,2,7
17,22,15,12,11,10,5,1,2,7
17,21,20,15,11,10,5,1,2,7
17,21,12,15,11,10,5,1,2,7
17,22,12,15,11,10,5,1,2,7
17,13,12,15,11,10,5,1,2,7
17,21,22,15,11,10,5,1,2,7
17,23,22,15,11,10,5,1,2,7
17,12,22,15,11,10,5,1,2,7
17,22,21,15,11,10,5,1,2,7
17,12,21,15,11,10,5,1,2,7
17,12,9,8,11,10,5,1,2,7
17,12,13,9,8,10,5,1,2,7
17,21,12,9,8,10,5,1,2,7
17,22,12,9,8,10,5,1,2,7
17,13,12,9,8,10,5,1,2,7
17,21,15,11,8,10,5,1,2,7
17,21,12,11,8,10,5,1,2,7
17,22,12,11,8,10,5,1,2,7
17,13,12,11,8,10,5,1,2,7
17,15,12,11,8,10,5,1,2,7
17,22,15,11,8,10,5,1,2,7
17,12,15,11,8,10,5,1,2,7
17,15,12,9,8,10,5,1,2,7
17,12,11,8,10,5,0,1,2,7
17,15,11,8,10,5,0,1,2,7
17,13,9,8,10,5,0,1,2,7
17,21,15,11,10,5,0,1,2,7
17,21,12,11,10,5,0,1,2,7
17,22,12,11,10,5,0,1,2,7
17,13,12,11,10,5,0,1,2,7
17,15,12,11,10,5,0,1,2,7
17,22,15,11,10,5,0,1,2,7
17,12,15,11,10,5,0,1,2,7
17,21,15,14,10,5,0,1,2,7
17,21,20,14,10,5,0,1,2,7
17,15,20,14,10,5,0,1,2,7
17,22,15,14,10,5,0,1,2,7
17,12,15,14,10,5,0,1,2,7
17,15,20,18,10,5,0,1,2,7
17,15,14,18,10,5,0,1,2,7
17,21,20,18,10,5,0,1,2,7
17,12,9,8,10,5,0,1,2,7
17,12,13,9,8,5,0,1,2,7
17,21,12,9,8,5,0,1,2,7
17,22,12,9,8,5,0,1,2,7
17,13,12,9,8,5,0,1,2,7
17,15,11,10,8,5,0,1,2,7
17,15,14,10,8,5,0,1,2,7
17,12,11,10,8,5,0,1,2,7
17,21,15,11,8,5,0,1,2,7
17,21,12,11,8,5,0,1,2,7
17,22,12,11,8,5,0,1,2,7
17,13,12,11,8,5,0,1,2,7
17,15,12,11,8,5,0,1,2,7
17,22,15,11,8,5,0,1,2,7
17,12,15,11,8,5,0,1,2,7
17,15,12,9,8,5,0,1,2,7
17,13,9,8,3,5,0,1,2,7
17,15,11,8,3,5,0,1,2,7
17,12,11,8,3,5,0,1,2,7
17,21,15,11,10,5,8,3,2,7
17,21,12,11,10,5,8,3,2,7
17,22,12,11,10,5,8,3,2,7
17,13,12,11,10,5,8,3,2,7
17,15,12,11,10,5,8,3,2,7
17,22,15,11,10,5,8,3,2,7
17,12,15,11,10,5,8,3,2,7
17,21,15,14,10,5,8,3,2,7
17,21,20,14,10,5,8,3,2,7
17,15,20,14,10,5,8,3,2,7
17,22,15,14,10,5,8,3,2,7
17,12,15,14,10,5,8,3,2,7
17,15,20,18,10,5,8,3,2,7
17,15,14,18,10,5,8,3,2,7
17,21,20,18,10,5,8,3,2,7
17,15,11,12,13,9,8,3,2,7
17,21,22,12,13,9,8,3,2,7
17,23,22,12,13,9,8,3,2,7
17,15,22,12,13,9,8,3,2,7
17,22,21,12,13,9,8,3,2,7
17,15,21,12,13,9,8,3,2,7
17,22,15,12,13,9,8,3,2,7
17,21,15,12,13,9,8,3,2,7
17,22,15,11,12,9,8,3,2,7
17,21,20,15,12,9,8,3,2,7
17,21,22,15,12,9,8,3,2,7
17,23,22,15,12,9,8,3,2,7
17,22,21,15,12,9,8,3,2,7
17,23,22,21,12,9,8,3,2,7
17,15,22,21,12,9,8,3,2,7
17,15,20,21,12,9,8,3,2,7
17,22,15,21,12,9,8,3,2,7
17,21,15,22,12,9,8,3,2,7
17,15,21,22,12,9,8,3,2,7
17,21,15,11,12,9,8,3,2,7
17,21,15,14,18,10,8,3,2,7
17,21,20,14,18,10,8,3,2,7
17,15,20,14,18,10,8,3,2,7
17,22,15,14,18,10,8,3,2,7
17,12,15,14,18,10,8,3,2,7
17,21,15,20,18,10,8,3,2,7
17,15,14,20,18,10,8,3,2,7
17,22,21,20,18,10,8,3,2,7
17,12,21,20,18,10,8,3,2,7
17,15,21,20,18,10,8,3,2,7
17,22,15,20,18,10,8,3,2,7
17,12,15,20,18,10,8,3,2,7
17,21,20,15,14,10,8,3,2,7
17,21,12,15,14,10,8,3,2,7
17,22,12,15,14,10,8,3,2,7
17,13,12,15,14,10,8,3,2,7
17,12,11,15,14,10,8,3,2,7
17,21,22,15,14,10,8,3,2,7
17,23,22,15,14,10,8,3,2,7
17,12,22,15,14,10,8,3,2,7
17,22,21,15,14,10,8,3,2,7
17,12,21,15,14,10,8,3,2,7
17,15,20,18,14,10,8,3,2,7
17,21,20,18,14,10,8,3,2,7
17,21,15,20,14,10,8,3,2,7
17,22,21,20,14,10,8,3,2,7
17,12,21,20,14,10,8,3,2,7
17,15,21,20,14,10,8,3,2,7
17,22,15,20,14,10,8,3,2,7
17,12,15,20,14,10,8,3,2,7
17,21,15,12,11,10,8,3,2,7
17,13,9,12,11,10,8,3,2,7
17,21,22,12,11,10,8,3,2,7
17,23,22,12,11,10,8,3,2,7
17,15,22,12,11,10,8,3,2,7
17,22,21,12,11,10,8,3,2,7
17,15,21,12,11,10,8,3,2,7
17,22,15,12,11,10,8,3,2,7
17,21,20,15,11,10,8,3,2,7
17,21,12,15,11,10,8,3,2,7
17,22,12,15,11,10,8,3,2,7
17,13,12,15,11,10,8,3,2,7
17,21,22,15,11,10,8,3,2,7
17,23,22,15,11,10,8,3,2,7
17,12,22,15,11,10,8,3,2,7
17,22,21,15,11,10,8,3,2,7
17,12,21,15,11,10,8,3,2,7
17,13,9,12,15,11,8,3,2,7
17,21,22,12,15,11,8,3,2,7
17,23,22,12,15,11,8,3,2,7
